Exterior_team,score_exterior,scorer_names_ext,Domicile_team,score_dom,scorer_names_dom,lieu_match,date,journee,region,clean_date,temp_max,temp_min,precipitations
Strasbourg,0,[],Saint-Étienne,2,"['D. Bouanga', 'M. Camara']",Saint-Étienne,2020/09/12,3,rh-ne-alpes,2020-09-12 21:00:00+02:00,27°,12°,0mm
Metz,0,[],Lille,1,['L. Araujo'],Lille,2020/09/13,3,nord-pas-de-calais,2020-09-13 13:00:00+02:00,26°,14°,0mm
Rennes,4,"['S. Guirassy', 'S. Guirassy', 'N. Aguerd', '+7 B.']",Nîmes,2,"['A. Cubas', 'Z. Ferhat']",Nîmes,2020/09/13,3,languedoc-roussillon,2020-09-13 15:00:00+02:00,32°,22°,0mm
Lens,3,"['G. Kakuta', 'F. Medina', 'I. Ganago']",Lorient,2,"['A. Grbic', 'Y. Wissa']",Lorient,2020/09/13,3,bretagne,2020-09-13 15:00:00+02:00,24°,12°,0mm
Reims,0,[],Angers,1,['S. Bahoken'],Angers,2020/09/13,3,pays-de-la-loire,2020-09-13 15:00:00+02:00,30°,12°,0mm
Brest,2,"['R. Perraud', '+5 I.']",Dijon,0,[],Dijon,2020/09/13,3,bourgogne,2020-09-13 15:00:00+02:00,30°,14°,0mm
Nantes,1,['L. Blas'],Monaco,2,"['S. Diop', 'W. Geubbels']",Monaco,2020/09/13,3,provence-alpes-c-te-d-azur,2020-09-13 17:00:00+02:00,28°,25°,0mm
Marseille,1,['F. Thauvin'],Paris-SG,0,[],Paris,2020/09/13,3,ile-de-france,2020-09-13 21:00:00+02:00,32°,20°,0mm
Nîmes,0,[],Lyon,0,[],Lyon,2020/09/18,4,rh-ne-alpes,2020-09-18 21:00:00+02:00,31°,20°,0mm
Bordeaux,1,['+5 S.'],Lens,2,"['I. Ganago', 'G. Kakuta']",Lens,2020/09/19,4,nord-pas-de-calais,2020-09-19 17:00:00+02:00,24°,16°,1mm
Monaco,1,['W. Ben'],Rennes,2,"['S. Nzonzi', 'A. Truffert']",Rennes,2020/09/19,4,bretagne,2020-09-19 21:00:00+02:00,23°,17°,19mm
Paris-SG,3,"['K. Mbappé', '+1 A.', 'Marquinhos']",Nice,0,[],Nice,2020/09/20,4,provence-alpes-c-te-d-azur,2020-09-20 13:00:00+02:00,24°,22°,16mm
Angers,1,['S. Bahoken'],Montpellier,4,"['A. Souquet', 'A. Delort', 'A. Delort', 'F. Mollet']",Montpellier,2020/09/20,4,languedoc-roussillon,2020-09-20 15:00:00+02:00,26°,20°,16mm
Lorient,2,"['C. Hérelle', '+2 T.']",Brest,3,"['R. Perraud', 'S. Mounié', 'F. Honorat']",Brest,2020/09/20,4,bretagne,2020-09-20 15:00:00+02:00,20°,14°,0mm
Reims,1,['B. Dia'],Metz,2,"['I. Niane', 'I. Niane']",Metz,2020/09/20,4,lorraine,2020-09-20 15:00:00+02:00,24°,14°,1mm
Dijon,0,[],Strasbourg,1,['S. Mitrovic'],Strasbourg,2020/09/20,4,alsace,2020-09-20 15:00:00+02:00,24°,15°,0mm
Saint-Étienne,2,"['A. Aouchiche', 'Y. Maçon']",Nantes,2,"['M. Simon', 'R. Emond']",Nantes,2020/09/20,4,pays-de-la-loire,2020-09-20 17:00:00+02:00,25°,16°,2mm
Lille,1,['L. Araujo'],Marseille,1,['V. Germain'],Marseille,2020/09/20,4,provence-alpes-c-te-d-azur,2020-09-20 21:00:00+02:00,25°,23°,13mm
Nantes,0,[],Lille,2,"['N. Pallois', 'B. Yilmaz']",Lille,2020/09/25,5,nord-pas-de-calais,2020-09-25 21:00:00+02:00,12°,9°,8mm
Rennes,3,"['N. Aguerd', 'S. Guirassy', 'A. Hunou']",Saint-Étienne,0,[],Saint-Étienne,2020/09/26,5,rh-ne-alpes,2020-09-26 17:00:00+02:00,11°,4°,3mm
Metz,1,['I. Niane'],Marseille,1,['M. Sanson'],Marseille,2020/09/26,5,provence-alpes-c-te-d-azur,2020-09-26 21:00:00+02:00,16°,13°,0mm
Nice,0,[],Bordeaux,0,[],Bordeaux,2020/09/27,5,aquitaine,2020-09-27 13:00:00+02:00,15°,8°,1mm
Montpellier,2,"['A. Delort', 'T. Savanier']",Dijon,2,"['E. Dina', 'B. Ecuele']",Dijon,2020/09/27,5,bourgogne,2020-09-27 15:00:00+02:00,9°,7°,47mm
Lens,1,['I. Ganago'],Nîmes,1,['Z. Ferhat'],Nîmes,2020/09/27,5,languedoc-roussillon,2020-09-27 15:00:00+02:00,15°,9°,1mm
Strasbourg,2,"['M. Chahiri', 'L. Ajorque']",Monaco,3,"['W. Ben', 'R. Aguilar', 'W. Ben']",Monaco,2020/09/27,5,provence-alpes-c-te-d-azur,2020-09-27 15:00:00+02:00,19°,16°,1mm
Brest,2,"['S. Mounié', 'G. Charbonnier']",Angers,3,"['S. Thioub', 'I. Traoré', 'A. Fulgini']",Angers,2020/09/27,5,pays-de-la-loire,2020-09-27 15:00:00+02:00,14°,9°,0mm
